iter	Passed	Remaining
0	1	134
1	2	115
2	3	107
3	4	96
4	4	94
5	6	97
6	7	97
7	8	95
8	9	94
9	10	93
10	11	92
11	12	93
12	13	91
13	14	89
14	15	87
15	16	85
16	17	84
17	18	82
18	19	81
19	20	80
20	21	79
21	22	78
22	23	77
23	24	76
24	25	75
25	26	74
26	27	74
27	28	73
28	29	72
29	30	71
30	31	70
31	32	69
32	33	68
33	34	67
34	35	66
35	36	65
36	37	64
37	38	62
38	39	61
39	40	60
40	41	59
41	41	57
42	42	56
43	43	55
44	44	54
45	45	53
46	46	52
47	47	51
48	49	51
49	51	51
50	52	50
51	53	49
52	55	48
53	56	47
54	56	46
55	57	45
56	59	44
57	60	44
58	62	43
59	64	42
60	65	41
61	67	41
62	68	40
63	69	39
64	70	38
65	71	36
66	72	35
67	73	34
68	75	33
69	76	32
70	77	31
71	78	30
72	78	29
73	79	28
74	80	26
75	81	25
76	82	24
77	83	23
78	84	22
79	85	21
80	86	20
81	87	19
82	88	18
83	89	17
84	90	15
85	91	14
86	92	13
87	92	12
88	93	11
89	94	10
90	95	9
91	96	8
92	97	7
93	98	6
94	99	5
95	100	4
96	101	3
97	102	2
98	102	1
99	103	0
