iter	Passed	Remaining
0	159	159735
1	162	80859
2	163	54491
3	165	41293
4	171	34101
5	172	28660
6	174	24697
7	175	21713
8	176	19396
9	177	17539
10	178	16019
11	179	14757
12	180	13688
13	181	12801
14	184	12107
15	186	11453
16	187	10853
17	188	10297
18	189	9798
19	190	9349
20	191	8943
21	192	8574
22	193	8236
23	196	8001
24	198	7734
25	199	7469
26	200	7221
27	201	6995
28	202	6781
29	203	6580
30	204	6393
31	205	6217
32	206	6052
33	207	5897
34	208	5750
35	211	5666
36	212	5535
37	213	5409
38	214	5289
39	215	5175
40	216	5066
41	217	4963
42	218	4865
43	219	4770
44	220	4681
45	221	4595
46	225	4576
47	227	4502
48	228	4425
49	229	4351
50	230	4280
51	231	4211
52	232	4145
53	232	4081
54	233	4020
55	234	3961
56	236	3904
57	239	3890
58	240	3839
59	241	3787
60	242	3735
61	243	3686
62	244	3639
63	245	3592
64	246	3547
65	247	3504
66	248	3462
67	249	3421
68	250	3382
69	253	3374
70	255	3339
71	256	3302
72	257	3266
73	258	3231
74	259	3196
75	260	3163
76	261	3130
77	262	3098
78	263	3067
79	264	3037
80	265	3013
81	269	3013
82	269	2982
83	270	2954
84	271	2927
85	272	2901
86	273	2875
87	274	2849
88	275	2824
89	276	2800
90	277	2775
91	279	2754
92	280	2731
93	281	2709
94	283	2703
95	284	2682
96	285	2661
97	286	2639
98	287	2619
99	288	2598
100	289	2578
101	290	2559
102	291	2540
103	292	2522
104	293	2503
105	294	2485
106	297	2485
107	299	2471
108	300	2454
109	301	2437
110	302	2420
111	303	2405
112	304	2389
113	305	2373
114	306	2358
115	307	2343
116	308	2326
117	309	2311
118	310	2296
119	313	2299
120	314	2285
121	315	2270
122	316	2256
123	317	2242
124	318	2228
125	319	2215
126	320	2201
127	321	2188
128	322	2175
129	323	2162
130	324	2149
131	325	2137
132	328	2141
133	329	2130
134	330	2118
135	331	2106
136	332	2095
137	333	2083
138	334	2073
139	335	2062
140	336	2051
141	337	2038
142	338	2028
143	339	2017
144	340	2007
145	343	2008
146	344	1998
147	345	1988
148	346	1978
149	347	1969
150	348	1959
151	349	1950
152	350	1940
153	351	1931
154	352	1921
155	353	1912
156	354	1903
157	357	1907
158	359	1899
159	360	1890
160	360	1879
161	361	1871
162	362	1863
163	363	1855
164	364	1846
165	365	1838
166	366	1830
167	367	1822
168	369	1814
169	370	1811
170	373	1809
171	374	1802
172	375	1794
173	377	1791
174	378	1785
175	380	1779
176	381	1773
177	382	1767
178	387	1777
179	389	1772
180	390	1766
181	391	1759
182	392	1752
183	393	1746
184	395	1740
185	396	1734
186	397	1728
187	399	1724
188	403	1732
189	405	1728
190	406	1723
191	408	1718
192	409	1713
193	410	1707
194	412	1701
195	413	1695
196	417	1702
197	419	1699
198	421	1695
199	422	1690
200	423	1684
201	425	1679
202	426	1673
203	427	1668
204	428	1662
205	433	1668
206	434	1663
207	435	1660
208	437	1655
209	439	1652
210	440	1648
211	443	1647
212	446	1649
213	447	1645
214	449	1639
215	450	1633
216	451	1627
217	452	1621
218	453	1615
219	454	1609
220	455	1604
221	456	1601
222	458	1596
223	462	1602
224	464	1598
225	466	1596
226	467	1593
227	470	1591
228	472	1590
229	477	1598
230	478	1594
231	480	1591
232	483	1591
233	485	1590
234	487	1588
235	493	1596
236	494	1592
237	495	1588
238	497	1583
239	498	1580
240	500	1575
241	502	1573
242	509	1586
243	510	1581
244	511	1577
245	513	1574
246	515	1571
247	516	1567
248	519	1565
249	522	1567
250	524	1565
251	526	1563
252	528	1560
253	530	1557
254	534	1561
255	536	1559
256	537	1555
257	539	1550
258	540	1546
259	542	1543
260	545	1543
261	551	1552
262	552	1548
263	553	1543
264	554	1538
265	555	1533
266	557	1531
267	559	1527
268	560	1523
269	564	1525
270	565	1521
271	566	1517
272	568	1513
273	569	1508
274	570	1504
275	572	1500
276	573	1496
277	575	1493
278	582	1505
279	590	1518
280	596	1526
281	599	1527
282	602	1525
283	633	1597
284	639	1603
285	645	1611
286	647	1609
287	659	1631
288	661	1627
289	666	1632
290	668	1628
291	669	1623
292	675	1629
293	679	1631
294	680	1627
295	682	1622
296	683	1617
297	684	1612
298	685	1607
299	689	1608
300	690	1603
301	691	1598
302	692	1593
303	693	1588
304	694	1583
305	695	1578
306	696	1572
307	697	1567
308	698	1562
309	699	1557
310	700	1552
311	704	1553
312	705	1548
313	706	1543
314	707	1538
315	708	1533
316	709	1528
317	710	1523
318	711	1518
319	712	1514
320	713	1509
321	714	1505
322	716	1502
323	719	1500
324	720	1495
325	721	1491
326	722	1486
327	723	1481
328	724	1477
329	725	1472
330	726	1467
331	727	1463
332	728	1458
333	729	1454
334	730	1450
335	734	1451
336	735	1446
337	736	1442
338	737	1437
339	738	1433
340	739	1429
341	740	1424
342	741	1420
343	742	1416
344	743	1411
345	744	1407
346	747	1407
347	749	1403
348	750	1399
349	751	1395
350	752	1390
351	753	1386
352	754	1382
353	755	1378
354	756	1374
355	757	1370
356	758	1365
357	759	1361
358	760	1357
359	763	1356
360	764	1352
361	765	1348
362	766	1344
363	767	1340
364	768	1337
365	769	1333
366	770	1329
367	771	1325
368	772	1321
369	773	1317
370	776	1316
371	777	1313
372	778	1309
373	780	1305
374	781	1301
375	782	1297
376	783	1294
377	784	1290
378	785	1286
379	786	1282
380	787	1279
381	788	1275
382	792	1276
383	794	1273
384	795	1270
385	796	1266
386	797	1263
387	798	1259
388	799	1255
389	800	1252
390	801	1248
391	802	1244
392	803	1241
393	807	1241
394	808	1238
395	809	1235
396	810	1231
397	811	1228
398	812	1224
399	813	1220
400	814	1217
401	815	1213
402	816	1210
403	817	1206
404	818	1203
405	823	1205
406	824	1201
407	826	1198
408	827	1195
409	829	1193
410	830	1189
411	831	1186
412	832	1183
413	833	1179
414	838	1182
415	840	1179
416	842	1177
417	843	1174
418	844	1171
419	846	1169
420	848	1166
421	863	1182
422	867	1182
423	872	1185
424	875	1184
425	876	1181
426	878	1178
427	880	1176
428	881	1173
429	882	1170
430	883	1166
431	887	1166
432	888	1163
433	889	1160
434	890	1156
435	891	1153
436	892	1149
437	893	1146
438	894	1143
439	895	1139
440	896	1136
441	897	1133
442	898	1129
443	902	1130
444	903	1127
445	904	1124
446	905	1120
447	906	1117
448	907	1114
449	909	1111
450	910	1108
451	911	1105
452	912	1102
453	913	1098
454	918	1099
455	919	1097
456	920	1094
457	921	1090
458	922	1087
459	924	1084
460	926	1083
461	927	1079
462	928	1076
463	930	1074
464	933	1073
465	934	1070
466	935	1067
467	936	1064
468	937	1061
469	938	1058
470	939	1054
471	940	1051
472	941	1048
473	942	1045
474	943	1042
475	944	1039
476	947	1039
477	948	1036
478	949	1033
479	950	1030
480	951	1026
481	952	1023
482	953	1020
483	954	1017
484	955	1014
485	956	1011
486	957	1008
487	958	1005
488	962	1005
489	963	1003
490	964	1000
491	965	997
492	966	994
493	967	991
494	968	988
495	969	985
496	970	982
497	971	979
498	972	976
499	973	973
500	977	973
501	978	970
502	979	968
503	980	965
504	981	962
505	982	959
506	983	956
507	984	953
508	985	951
509	986	948
510	987	945
511	988	942
512	993	943
513	995	940
514	996	938
515	997	935
516	998	932
517	999	929
518	1000	927
519	1001	924
520	1002	921
521	1003	919
522	1009	920
523	1010	918
524	1012	915
525	1013	912
526	1014	910
527	1015	907
528	1016	905
529	1017	902
530	1019	900
531	1021	898
532	1024	897
533	1026	895
534	1028	893
535	1030	891
536	1031	889
537	1033	887
538	1035	885
539	1040	885
540	1041	883
541	1043	881
542	1048	882
543	1050	880
544	1052	878
545	1054	876
546	1056	874
547	1058	872
548	1062	873
549	1065	872
550	1068	870
551	1069	868
552	1071	865
553	1072	863
554	1077	863
555	1080	862
556	1081	860
557	1083	858
558	1084	855
559	1085	853
560	1087	851
561	1092	851
562	1094	849
563	1095	846
564	1096	844
565	1098	842
566	1100	840
567	1108	842
568	1109	840
569	1110	837
570	1111	835
571	1112	832
572	1114	830
573	1116	828
574	1117	825
575	1122	825
576	1123	823
577	1125	821
578	1127	819
579	1129	817
580	1131	815
581	1132	813
582	1138	814
583	1139	811
584	1140	809
585	1141	806
586	1143	804
587	1144	801
588	1145	799
589	1146	796
590	1148	794
591	1152	794
592	1154	792
593	1155	789
594	1156	787
595	1158	785
596	1159	782
597	1161	780
598	1163	778
599	1168	779
600	1170	776
601	1171	774
602	1173	772
603	1174	770
604	1176	767
605	1178	766
606	1182	765
607	1184	763
608	1186	761
609	1187	759
610	1189	757
611	1190	754
612	1191	752
613	1192	749
614	1193	747
615	1197	746
616	1198	743
617	1199	741
618	1200	738
619	1201	736
620	1202	733
621	1203	731
622	1204	728
623	1205	726
624	1207	724
625	1208	722
626	1212	721
627	1213	719
628	1214	716
629	1215	714
630	1216	711
631	1217	709
632	1218	706
633	1219	704
634	1220	701
635	1221	699
636	1222	696
637	1223	694
638	1228	693
639	1229	691
640	1231	689
641	1233	687
642	1234	685
643	1236	683
644	1238	681
645	1242	680
646	1243	678
647	1244	675
648	1245	673
649	1246	671
650	1247	668
651	1248	666
652	1249	664
653	1250	661
654	1251	659
655	1252	656
656	1253	654
657	1258	653
658	1259	651
659	1260	649
660	1261	646
661	1262	644
662	1263	642
663	1264	639
664	1265	637
665	1266	634
666	1267	632
667	1268	630
668	1269	628
669	1272	626
670	1273	624
671	1274	622
672	1275	619
673	1276	617
674	1277	615
675	1278	612
676	1279	610
677	1280	608
678	1281	605
679	1282	603
680	1286	602
681	1287	600
682	1288	598
683	1289	595
684	1290	593
685	1291	591
686	1292	588
687	1293	586
688	1294	584
689	1295	582
690	1296	579
691	1297	577
692	1301	576
693	1302	574
694	1303	572
695	1304	569
696	1305	567
697	1306	565
698	1307	563
699	1308	560
700	1309	558
701	1310	556
702	1311	554
703	1312	551
704	1316	550
